ident,elevation_meters,latitude,longitude,iata_code
02IA,353.56800000000004,42.05609893798828,-93.87799835205078,
02ID,1717.2432000000001,44.55550003051758,-115.30500030517578,
02II,281.94,40.06230163574219,-86.21050262451172,
02IN,275.5392,40.208900451660156,-85.54080200195312,
02IS,232.25760000000002,42.274600982666016,-87.9572982788086,
02KS,356.61600000000004,39.222198486328125,-96.0552978515625,
02KT,238.0488,38.181441,-83.443319,
02KY,231.64800000000002,38.190282,-84.906442,
02LA,51.2064,32.531491,-93.659939,
02LS,7.62,30.148300170898438,-91.91899871826172,
02MA,2.7432000000000003,41.419601,-70.927002,
02MD,42.976800000000004,38.672544,-76.709739,
02ME,213.36,43.537467,-70.930685,
02MI,259.08000000000004,43.157100677490234,-85.14849853515625,
02MN,326.136,48.686527,-96.191976,
02MO,198.12,39.04999923706055,-91.03350067138672,
02MS,46.6344,34.095701,-90.846131,
02MT,1021.08,47.234035,-111.750592,
02MU,472.44,36.655612,-93.802387,
02NC,246.5832,35.540477,-80.598047,
02NE,472.44,41.074501037597656,-96.90450286865234,
02NH,359.66400000000004,44.657100677490234,-71.21910095214844,
02NJ,23.7744,40.55730056762695,-74.46710205078125,
02NM,1292.352,32.09071,-108.870735,
02NR,7.62,35.592197,-77.377372,
02NV,1354.2264,41.299551,-118.926709,
02NY,132.588,43.132598876953125,-75.65550231933594,
02OH,187.1472,41.376399993896484,-83.08329772949219,
02OI,289.56,41.801998138427734,-80.56539916992188,
02OK,363.01680000000005,35.458401,-97.525297,
02OL,245.9736,34.811412,-95.307727,
02OR,214.88400000000001,45.68149948120117,-121.31600189208984,
02P,180.13680000000002,40.403596,-77.556602,
02PA,326.136,40.438301,-79.769997,
02PN,118.872,40.06959915161133,-75.4552001953125,
02PR,4.572,18.464924,-66.363773,
02PS,518.1600000000001,41.90063,-77.230025,
02SC,33.8328,32.760211,-81.225872,
02T,1776.9840000000002,45.769100189208984,-112.98200225830078,
02TA,1.524,28.722177,-95.875813,
02TE,170.68800000000002,32.39540100097656,-96.86419677734375,
02TN,256.03200000000004,35.780355,-86.585521,
02TS,208.4832,32.747601,-97.370003,
02TX,986.028,33.370403,-101.922882,
02UT,1344.7776000000001,41.369336,-113.841019,
02VA,97.536,38.435699462890625,-77.8572006225586,
02VG,563.88,36.63880157470703,-82.11669921875,
02WA,210.312,47.15230178833008,-122.09400177001953,
02WI,280.416,45.031898498535156,-92.65579986572266,
02WN,655.32,48.74580001831055,-119.31900024414062,
02XA,205.74,33.591319,-95.882864,
02XS,155.448,30.100941,-97.672607,
03AA,48.4632,61.556055,-149.284527,
03AK,45.72,60.72722244262695,-151.13278198242188,
03AL,191.4144,34.662604,-86.046774,
03AR,106.68,34.357601165771484,-92.78849792480469,
03AZ,1303.02,31.430971,-110.088087,
03CA,193.2432,32.779484,-117.006952,
03CO,1508.76,40.211608,-104.744781,
03FA,21.336000000000002,27.353099822998047,-81.40809631347656,
03FD,35.052,30.8288,-85.731003,
03FL,6.096,26.683716,-80.186561,
03GA,72.5424,32.561626,-81.85509,
03GE,359.05440000000004,34.523153,-83.975058,
03I,207.264,39.644199,-83.018204,
03IA,290.7792,41.581902,-92.461304,
03ID,969.264,44.793965,-116.531543,
03II,141.732,37.9620018005,-87.7789001465,
03IL,228.60000000000002,41.40230178833008,-87.81670379638672,
03IN,259.08000000000004,40.18000030517578,-86.01249694824219,
03IS,176.78400000000002,38.904999,-90.173401,
03KS,353.56800000000004,39.86470031738281,-95.26409912109375,
03KY,117.348,37.796085,-87.53859,
03LA,7.62,30.199600219726562,-91.12789916992188,
03LS,24.0792,32.159000396728516,-91.70800018310547,
03M,50.292,44.3209,-69.889503,
03MA,45.72,42.393431,-72.551553,
03MD,92.0496,39.518427,-76.346022,
03ME,169.46880000000002,44.084251,-70.626905,
